,HU
HUNGARIAN,MAGYAR
START,INDÍTÁS
OPTIONS,BEÁLLÍTÁSOK
CREDITS,KÉSZÍTŐK
EXIT,KILÉPÉS
HOLD TO EXIT,TARTSD LENYOMVA A(Z) „%s” GOMBOT A KILÉPÉSHEZ...
AUDIO/VIDEO,HANG/VIDEÓ
CONTROLLER,JÁTÉKVEZÉRLŐ
OPTIONS LANGUAGE,NYELV
NAVIGATE UP,FEL
NAVIGATE DOWN,LE
NAVIGATE LEFT,BALRA
NAVIGATE RIGHT,JOBBRA
RESTART,ÚJRAINDÍTÁS
BACK,VISSZA
EXIT BUTTON,KILÉPÉS A FŐMENÜBE
SELECT,KIVÁLASZTÁS
REBINDING,GOMBOK BEÁLLÍTÁSA
KEY IN USE,MÁR HASZNÁLATBAN VAN MINT „%s.” NEM SZERETNÉD LECSERÉLNI?
PRESS ANY BUTTON REMAP,NYOMJ EGY GOMBOT
RESET KEYBINDS,GOMBOK VISSZAVONÁSA
SELECT DEVICE,ESZKÖZ KIVÁLASZTÁSA
,
RETURN,VISSZA
MAIN CREDITS,"KÓD, GRAFIKA ÉS ZENE: MIKE KLUBNIKA
A JÁTÉKOT DANIEL MULLINS MUNKÁSSÁGA INSPIRÁLTA

MIA ROSADO: „BLOODSPLATTER FX PACK”
A CREATIVE COMMONS 4.0 LICENSZ ALATT ÁLL

JÁTÉKTESZT: NICK, POPSTONIA,
EKU ÉS PATTHEHYRULER

KÖSZÖNJÜK HOGY EZZEL JÁTSZOTTÁL!"
INTERACT WITH,INTERAKCIÓ:
CONSUME,TABLETTÁT ELFOGYASZTOD?
DEALER,DÍLER
YOU,TE
YES,IGEN
NO,NEM
DOUBLE,DUPLA VAGY SEMMI?
WAIVER,KÉRLEK ÍRD ALÁ A NYILATKOZATOT.
WELCOME,ÜDV ÚJRA ITT.
YOURE LUCKY,"MÁZLID VAN, HAGYOTT BENNE TÖLTETET."
GET UP,"ÉBRESZTŐ, %s!"
THE NIGHT,FIATAL MÉG AZ ÉJSZAKA.
SHELL INSERT1,"VÉLETLENSZERŰEN BEHELYEZEM
A LÖVEDÉKEKET."
SHELL INSERT2,EGY REJTETT SORRENDBEN KERÜLNEK BELE A TÖLTÉNYŰRBE.
LIVEROUND,%s ÉLES.
LIVEROUNDS,%s ÉLES.
BLANKROUND,%s ÜRES.
BLANKROUNDS,%s ÜRES.
ITEMS EACH,EGYSZERRE CSAK %s TÁRGY.
MORE ITEMS,MENETENKÉNT TÖBB TÁRGYAT VEHETSZ MAGADHOZ.
NO SPACE,TELE AZ ASZTAL?
UNFORTUNATE,MILYEN KÁR…
MORE INTERESTING,"TEGYÜK ÉRDEKESEBBÉ
EZT A JÁTÉKOT..."
INTERESTING,VALÓBAN ÉRDEKES...
CAREFUL,ÉSSZEL...
,
SHOTGUN,SÖRÉTES
SHOTGUN DESC,"HA ÜRES LÖVEDÉKKEL LŐSZ MAGADRA,
A DÍLER KIMARAD EGY KÖRBŐL."
HANDCUFFS,BILINCS
HANDCUFFS DESC,"A DÍLER KIMARAD
EGY KÖRBŐL."
BEER,SÖR
BEER DESC,"A PUSKÁBAN LÉVŐ
JELENLEGI LÖVEDÉKTŐL MEGSZABADUL."
HANDSAW,KÉZIFŰRÉSZ
HANDSAW DESC,A PUSKA KÉTSZER AKKORÁT SEBEZ.
CIGARETTE,CIGARETTA DOBOZ
CIGARETTE DESC,MEGNYUGTAT ÉS 1 TÖLTETET AD.
MAGNIFIER,NAGYÍTÓ
MAGNIFIER DESC,TEKINTS BELE A TÖLTÉNYŰRBE.
INVERTER,POLARIZÁLÓ
INVERTER DESC,"A JELENLEGI LÖVEDÉK POLARITÁSÁT
FORDÍTJA MEG."
ADRENALINE,ADRENALIN
ADRENALINE DESC,"CSEND EL ELLENFELED TÁRGYÁT,
MAJD AZONNAL HASZNÁLD FEL."
MEDICINE,LEJÁRT GYÓGYSZER
MEDICINE DESC,"50% ESÉLY HOGY KAPJ 2 TÖLTETET
KÜLÖNBEN 1-ET VESZTESZ."
PHONE,ELDOBHATÓ MOBILTELEFON
PHONE DESC,"EGY REJTÉLYES HANG
BETEKINTÉST NYÚJT A JÖVŐBE."
,
SEQUENCE2,MÁSODIKBAN...
SEQUENCE3,HARMADIKBAN...
SEQUENCE4,NEGYEDIKBEN...
SEQUENCE5,ÖTÖDIKBEN...
SEQUENCE6,HATODIKBAN...
SEQUENCE7,HETEDIKBEN...
PLAYERWIN,%s A NYERTES!
FINAL SHOW1,"VÉGRE ELÉRKEZTÜNK
A VÉGSŐ JÁTSZMÁHOZ."
FINAL SHOW2,"NINCS TÖBB DEFIBRILLÁTOR.
NINCS TÖBB VÉRÁTÖMLESZTÉS."
FINAL SHOW3,"MOST CSAK AZ SZÁMÍT, HOGY KI NYÚL KI HAMARABB."
ARE YOU READY,KÉSZEN ÁLLSZ?
DRILL,ISMERED A DÖRGÉST.
CONGRATULATIONS,"GRATULÁLUNK, %s!"
SHOTS FIRED,MEGLŐTT LÖVEDÉK........
SHELLS EJECTED,ELDOBOTT LÖVEDÉK.....
DOORS KICKED,BERÚGOTT AJTÓK.......
CIGS SMOKED,SZÁL CIGI...........
ROUNDS BEAT,MEGNYERT MENETEK........
ML DRANK,ELFOGYASZTOTT SÖR (ML)…
TOTAL CASH,VÉGÖSSZEG:
PRESS ANY KEY,KILÉPÉSHEZ NYOMJ EGY GOMBOT
DEAD,MEGHALTÁL
RETRY,ÚJRA
BETTER NOT,"EZEK UTÁN JOBB, HA NEM LÁTLAK."
DOUBLE UNLOCK,„DUPLA VAGY SEMMI” FELOLDVA
IMPAIR,KÁRT OKOZHAT A VOLÁN MÖGÖTT.
,
ATTRIBUTION SPECIAL THANKS,"KÜLÖN KÖSZÖNET

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL támogatás
nicolith"
COLORBLIND_MODE,SZÍNVAK MÓD