keys,nl
DUTCH,NEDERLANDS
START,START
OPTIONS,OPTIES
CREDITS,CREDITS
EXIT,VERLAAT
HOLD TO EXIT,HOUDT '%s' INGEDRUKT OM TE VERLATEN ...
AUDIO/VIDEO,AUDIO/VIDEO
CONTROLLER,CONTROLLER
OPTIONS LANGUAGE,TAAL
NAVIGATE UP,NAVIGEER OMHOOG
NAVIGATE DOWN,NAVIGEER BENEDEN
NAVIGATE LEFT,NAVIGEER LINKS
NAVIGATE RIGHT,NAVIGEER RECHTS
RESTART,HERSTARTEN
BACK,TERUG
EXIT BUTTON,VERLAAT SPEL
SELECT,SELECTEER
REBINDING,HERBIND BEDIENING
KEY IN USE,IS AL TOEGEWEZEN AAN %s. WILT U DIT OVERSCHRIJVEN?
PRESS ANY BUTTON REMAP,DRUK OP EEN KNOP
RESET KEYBINDS,TOETSENBINDINGEN RESETTEN
SELECT DEVICE,SELECTEER APPARAAT
,
RETURN,TERUGKEREN
MAIN CREDITS,"CODE, TEKENINGEN EN MUZIEK G MIKE KLUBNIKA
GEÏNSPIREERD DOOR HET WERK VAN DANIEL MULLINS

""BLOODSPLATTER FX PACK"" DOOR MIA ROSADO
IS GELICENTIEERD ONDER EEN CREATIVE COMMONS
ATTRIBUTION 4.0 LICENSE

PLAYTESTED DOOR NICK, POPSTONIA,
EKU EN PATTHEHYRULER

BEDANKT VOOR HET SPELEN!"
INTERACT WITH,INTERACTEREN MET
CONSUME,PILLEN GEBRUIKEN?
DEALER,DEALER
YOU,JIJ
YES,JA
NO,NEE
DOUBLE,"DUBBEL OF
NIETS?"
WAIVER,ONDERTEKEN DE VRIJSTELLING ALSTUBLIEFT.
WELCOME,WELKOM TERUG.
YOURE LUCKY,"JE HEBT GELUK DAT JE ER AF BENT GEKOMEN
MET EEN LADING"
GET UP,"STA OP, %s!"
THE NIGHT,DE NACHT IS NOG JONG.
SHELL INSERT1,"IK STOP DE PATRONEN
IN EEN ONBEKENDE VOLGORDE."
SHELL INSERT2,"ZE GAAN HET SHOTGUN BINNEN
IN EEN VERBORGEN VOLGORDE."
LIVEROUND,%s SCHERPE PATROON.
LIVEROUNDS,%s SCHERPE PATRONEN.
BLANKROUND,%s LOSSE FLODDER.
BLANKROUNDS,%s LOSSE FLODDERS.
ITEMS EACH,ELK %s STUKS.
MORE ITEMS,"MEER STUKS VOOR
ELKE LADING."
NO SPACE,GEEN RUIMTE MEER.
UNFORTUNATE,WAT JAMMER ...
MORE INTERESTING,"LATEN WE DIT WAT MEER
INTERESSANT MAKEN ..."
INTERESTING,ERG INTERESSANT ...
CAREFUL,"VOORZICHTIG, NU ..."
,
SHOTGUN,SHOTGUN
SHOTGUN DESC,"JEZELF SCHIETEN MET EEN LOSSE FLODDER
SLAAT DE DEALER'S BEURT OVER."
HANDCUFFS,HANDBOEIEN
HANDCUFFS DESC,"DEALER SLAAT DE
VOLGENDE BEURT OVER."
BEER,BIER
BEER DESC,"LAADT HET SHOTGUN.
WERPT HUIDIG PATROON UIT."
HANDSAW,HANDZAAG
HANDSAW DESC,SHOTGUN DOET 2 DAMAGE.
CIGARETTE,PAKJE SIGARETTEN
CIGARETTE DESC,"VERZACHT DE SPANNING.
HERKRIJG 1 LEVEN."
MAGNIFIER,VERGROOTGLAS
MAGNIFIER DESC,"CHECK HET HUIDIGE PATROON
IN HET WAPEN."
INVERTER,OMVORMER
INVERTER DESC,"DRAAIT DE POLARITEIT VAN HET
HUIDIGE PATROON IN HET WAPEN."
ADRENALINE,ADRENALINE
ADRENALINE DESC,"JAT EEN ITEM EN
GEBRUIK HET ONMIDDELIJK."
MEDICINE,OVER DE DATUM MEDICIJNEN
MEDICINE DESC,"50% KANS OM 2 LEVENS TERUG TE KRIJGEN.
ZO NIET, VERLIES 1 LEVEN."
PHONE,WEGWERPTELEFOON
PHONE DESC,"EEN MYSTERIEUZE STEM GEEFT
JE INZICHT VAN DE TOEKOMST."
,
SEQUENCE2,TWEEDE PATROON ...
SEQUENCE3,DERDE PATROON ...
SEQUENCE4,VIERDE PATROON ...
SEQUENCE5,VIJFDE PATROON ...
SEQUENCE6,ZESDE PATROON ...
SEQUENCE7,ZEVENDE PATROON ...
PLAYERWIN,%s WINT!
FINAL SHOW1,"LANG  LAATSE, KOMEN WE AAN
BIJ DE LAATSE SHOWDOWN."
FINAL SHOW2,"GEEN DEFIBRILLATOREN MEER.
GEEN BLOEDTRANSFUSIES MEER."
FINAL SHOW3,"NU, IK EN JIJ, ZIJN WE AAN HET DANSEN
OP HET RANDJE VAN HET LEVEN EN DE DOOD."
ARE YOU READY,BEN JE ER KLAAR VOOR?
DRILL,JE WEET HOE HET GAAT.
CONGRATULATIONS,"GEFELICITEERD, %s!"
SHOTS FIRED,KEREN GESCHOTEN ........
SHELLS EJECTED,PATRONEN WEGGEWORPEN .....
DOORS KICKED,DEUREN GESCHOPT .......
CIGS SMOKED,SIGARETTEN GEROOKT ..
ROUNDS BEAT,RONDES VERSLAAN ........
ML DRANK,ML BIER GEDRONKEN ...
TOTAL CASH,TOTAAL CONTANT GELD:
PRESS ANY KEY,DRUK OP EEN WILLEKEURIGE KNOP OM AF TE SLUITEN
DEAD,JE BENT DOOD
RETRY,OPNIEUW PROBEREN
BETTER NOT,"IK HOOP JE
NIET WEER TE ZIEN."
DOUBLE UNLOCK,"""DUBBEL OF NIETS"" ONTGRENDELD!"
IMPAIR,KAN UW RIJMOGELIJKHEID BEÏNVLOEDEN
,
ATTRIBUTION SPECIAL THANKS,"SPECIAAL BEDANKT

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL support
nicolith"
COLORBLIND_MODE,KLEURENBLIND MODUS